time_sec,gyro_mag,acc_mag,acc_delta,status,status_label
0.0,0.029071538390606846,10.046285343269945,0.23963534326994562,0,stable
0.004030085,0.030148310635825924,9.32475679420568,0.4818932057943197,0,stable
0.009751938,0.01971380843453243,10.098790208385388,0.2921402083853888,0,stable
0.013948037,0.03420211482481082,9.758215224166904,0.048434775833095856,0,stable
0.019762861,0.018722219115130282,9.569255810428722,0.2373941895712779,0,stable
0.023963788,0.027346567331093318,10.13413380152492,0.3274838015249202,0,stable
0.029763592,0.0292449837237687,9.407779712515648,0.3988702874843515,0,stable
0.033950071,0.014331914102600814,9.848233885702863,0.0415838857028632,0,stable
0.039737492,0.031092061153881894,9.784203009149401,0.022446990850598425,0,stable
0.044011351,0.019414576888470307,9.40666555728979,0.3999844427102097,0,stable
0.050079371,0.02441879070784947,10.128992472755666,0.3223424727556665,0,stable
0.054124446,0.030796000444033862,9.484198572365012,0.3224514276349879,0,stable
0.059755812,0.01761003521022959,9.83360017756423,0.026950177564231126,0,stable
0.064016515,0.03361500122431493,10.026243556484058,0.21959355648405854,0,stable
0.069728372,0.027537809133940473,9.324349742340564,0.4823002576594355,0,stable
0.074039286,0.022798584494366846,10.120453060719338,0.31380306071933894,0,stable
0.079836423,0.03754941674322898,9.63464498643879,0.17200501356120945,0,stable
0.083859964,0.02203347192158493,9.488487828862082,0.3181621711379172,0,stable
0.089726122,0.03135514236482668,10.195151583445888,0.3885015834458887,0,stable
0.093975045,0.03431329845623374,9.347746328138657,0.45890367186134284,0,stable
0.100089946,0.016969467573604582,9.898930808912635,0.09228080891263524,0,stable
0.104072258,0.03444258109583059,9.992525170535632,0.18587517053563296,0,stable
0.110131349,0.026806816447649772,9.374335406596558,0.4323145934034418,0,stable
0.113813335,0.02287188590479559,10.155435139850807,0.3487851398508077,0,stable
0.119937236,0.029616738817931237,9.581934861939324,0.22471513806067556,0,stable
0.124204998,0.015353411122819535,9.633964443381048,0.17268555661895135,0,stable
0.129682662,0.025336020143296032,10.02013787847264,0.21348787847264106,0,stable
0.133932691,0.02652858554594955,9.357183317147285,0.4494666828527141,0,stable
0.13974996,0.015773096499925948,9.992540638271613,0.1858906382716139,0,stable
0.14411376,0.029339580375867234,9.70054673830889,0.10610326169110884,0,stable
0.14978437,0.018603645104620356,9.552345628727911,0.25430437127208805,0,stable
0.153918031,0.02654521381070466,10.152332395794884,0.3456823957948849,0,stable
0.159764333,0.02869964943562803,9.391411425817974,0.41523857418202503,0,stable
0.164263025,0.020279056760708004,9.945046478445077,0.13839647844507752,0,stable
0.169988843,0.03610203750040791,9.879908208678222,0.0732582086782223,0,stable
0.173910154,0.024490915896302295,9.32806527701372,0.4785847229862803,0,stable
0.179755228,0.02687942675003184,10.201485636220376,0.39483563622037643,0,stable
0.184023621,0.03585060852615578,9.50457564117558,0.30207435882442013,0,stable
0.189739124,0.020442805456750545,9.630494471906239,0.17615552809376034,0,stable
0.193969226,0.032822003948691995,10.138164453532855,0.331514453532856,0,stable
0.200289382,0.03168260493823732,9.301840024368234,0.5048099756317654,0,stable
0.204024941,0.020337531124723758,10.021819863357653,0.2151698633576533,0,stable
0.209752292,0.032376115603599716,9.827460766219204,0.020810766219204524,0,stable
0.213822821,0.022135836935845248,9.42113357069924,0.38551642930075936,0,stable
0.219743185,0.02638594936078065,10.13287662669974,0.3262266266997411,0,stable
0.224060017,0.028847298377534178,9.458175471995382,0.3484745280046173,0,stable
0.229723656,0.014070185522775776,9.775661820099742,0.03098817990025715,0,stable
0.233907107,0.029533755170976894,9.949761737617063,0.14311173761706364,0,stable
0.239739495,0.021543428781291944,9.407019200769309,0.39963079923069067,0,stable
0.24402166,0.02083383992618267,10.091280298959214,0.28463029895921466,0,stable
0.249763526,0.030297130665772703,9.590960572927477,0.21568942707252248,0,stable
0.254013273,0.017357196775338337,9.689266374087094,0.11738362591290574,0,stable
0.259749181,0.027298873833587554,10.079790424977613,0.2731404249776137,0,stable
0.264188362,0.029274315519744656,9.312440074134736,0.49420992586526324,0,stable
0.269740144,0.020827109922411817,10.059450818454877,0.2528008184548778,0,stable
0.273936515,0.03421193262434451,9.720086969297146,0.08656303070285354,0,stable
0.279731497,0.02535650208614502,9.43539516487439,0.37125483512560997,0,stable
0.283931323,0.028633402033910047,10.21665191986566,0.41000191986566037,0,stable
0.289733166,0.03575862262419439,9.400557123955535,0.40609287604446465,0,stable
0.29396828,0.019385024940560394,9.808885589372597,0.0022355893725976017,0,stable
0.300075867,0.034559222231238064,10.038324423740022,0.23167442374002256,0,stable
0.303937812,0.029891030507232266,9.310676277220418,0.4959737227795813,0,stable
0.309728196,0.02193628167899583,10.087017401786916,0.28036740178691666,0,stable
0.313968558,0.03225006302777741,9.662827283348225,0.14382271665177448,0,stable
0.319752759,0.01894838681108695,9.52615039628198,0.2804996037180203,0,stable
0.32396986,0.027712462390724054,10.109999473362434,0.30334947336243445,0,stable
0.329730094,0.02888353596214597,9.414969447603992,0.3916805523960072,0,stable
0.333895371,0.016397548664985443,9.934977064324622,0.1283270643246226,0,stable
0.339728147,0.029549139387403885,9.8416602909801,0.03501029098010022,0,stable
0.343956935,0.01967054455208853,9.490272665587598,0.316377334412401,0,stable
0.349831877,0.023982041210714556,10.127109672838575,0.32045967283857557,0,stable
0.353982478,0.031044624433890076,9.445469182779409,0.3611808172205908,0,stable
0.359750054,0.01736281661690603,9.824326529039901,0.017676529039901467,0,stable
0.364286559,0.03276857900791785,9.94230231253191,0.13565231253191,0,stable
0.369575693,0.028335606890167682,9.314149407206108,0.4925005927938919,0,stable
0.374033623,0.02287188590479559,10.155745630328752,0.3490956303287529,0,stable
0.379767651,0.035330258295372986,9.585078030769118,0.2215719692308813,0,stable
0.383868353,0.021821942510095112,9.541030208641228,0.26561979135877145,0,stable
0.389785031,0.03094583332927171,10.171943878846664,0.3652938788466642,0,stable
0.393864327,0.03396003019662105,9.303038387003356,0.503611612996643,0,stable
0.400398708,0.021030047728733275,9.941761498891182,0.1351114988911828,0,stable
0.404098451,0.030695003503262847,9.908770872908589,0.10212087290858918,0,stable
0.40974935,0.025947599927163608,9.364329193231486,0.4423208067685138,0,stable
0.413954616,0.024057778685304475,10.162751414038665,0.35610141403866535,0,stable
0.419729981,0.031150534349620642,9.539367513081512,0.26728248691848755,0,stable
0.424113941,0.015684291309607336,9.691803705059035,0.1148462949409641,0,stable
0.429760883,0.0292859662173362,10.065673002928158,0.25902300292815816,0,stable
0.433933556,0.02566893151427221,9.402658993547217,0.40399100645278274,0,stable
0.439758482,0.017198027922553562,10.039045896507396,0.23239589650739667,0,stable
0.444113661,0.03147848397479946,9.702905336584246,0.10374466341575328,0,stable
0.449841589,0.017369364373838663,9.610107180041975,0.19654281995802414,0,stable
0.453907932,0.025435960263132364,10.126331974045037,0.3196819740450376,0,stable
0.459763953,0.031620005597908916,9.393489982072364,0.4131600179276358,0,stable
0.464296267,0.01794919537644009,9.99361412952806,0.18696412952806085,0,stable
0.469795678,0.03339813654757773,9.839380797804784,0.03273079780478483,0,stable
0.473839684,0.02781760001302643,9.407525604480162,0.3991243955198378,0,stable
0.479749748,0.02211747227269996,10.159503165430303,0.35285316543030376,0,stable
0.484034506,0.03554299052474361,9.431797180243153,0.37485281975684615,0,stable
0.489753987,0.025764409928522844,9.702496419908584,0.10415358009141507,0,stable
0.493925793,0.031566295692270305,10.14853776949028,0.3418877694902811,0,stable
0.500356578,0.03440676042644799,9.233949402098768,0.5727005979012318,0,stable
0.5039698420000001,0.018603185610878068,10.059487578563402,0.25283757856340294,0,stable
0.509758854,0.03334975872660312,9.674863475173488,0.1317865248265111,0,stable
0.513853843,0.020693912073516715,9.421209321553745,0.38544067844625474,0,stable
0.51974708,0.02403830855788029,10.14394112460434,0.33729112460433974,0,stable
0.524100926,0.02965876573390244,9.425659188815127,0.38099081118487277,0,stable
0.529738657,0.017028204221289738,9.809859873634295,0.0032098736342955903,0,stable
0.533884299,0.02635660170258367,9.896972491151416,0.09032249115141688,0,stable
0.53973611,0.02161009261691317,9.425816340900322,0.38083365909967704,0,stable
0.5440322510000001,0.021524731260041473,10.103134556847671,0.2964845568476715,0,stable
0.549819397,0.02648251216650772,9.576396477503279,0.23025352249672082,0,stable
0.5539880030000001,0.01776317109296047,9.65347885032163,0.15317114967836964,0,stable
