frame_index,time_sec,point_count,imu_status,imu_status_label,mapping_confidence
149,14.90025723,19968,0,stable,high
150,15.000190601000002,19968,0,stable,high
151,15.099968395,19968,0,stable,high
152,15.201112055,20064,0,stable,high
153,15.300171878,19968,0,stable,high
154,15.400359433,19968,0,stable,high
155,15.500364592,20064,0,stable,high
156,15.600382977,20064,0,stable,high
157,15.700156544,19968,0,stable,high
158,15.800154489,19968,0,stable,high
159,15.900030448,19872,0,stable,high
160,16.00046555,20256,0,stable,high
161,16.099996505,19776,0,stable,high
162,16.200925002,20064,0,stable,high
163,16.300101297,19968,0,stable,high
164,16.400996267,20160,0,stable,high
165,16.500646935000002,19968,0,stable,high
166,16.601052726000002,19968,0,stable,high
167,16.700383716,19968,0,stable,high
168,16.800269852,20064,0,stable,high
169,16.900273966,19872,0,stable,high
170,17.000013183,19968,0,stable,high
171,17.100145074,20064,0,stable,high
172,17.200407993000002,19968,0,stable,high
173,17.300190152000003,19968,0,stable,high
174,17.400772281000002,20064,0,stable,high
175,17.500324411,19968,0,stable,high
176,17.600558005,20160,0,stable,high
177,17.700261735,19872,0,stable,high
178,17.800086,19968,0,stable,high
179,17.901372517000002,20256,0,stable,high
180,18.000627891,19872,0,stable,high
181,18.100023398,19872,0,stable,high
182,18.200508459,20160,0,stable,high
183,18.300467433,19872,0,stable,high
184,18.400336217,19968,0,stable,high
185,18.500365546,19968,0,stable,high
186,18.600312496,19968,0,stable,high
187,18.700217111,20064,0,stable,high
188,18.801290832,19968,0,stable,high
189,18.900074886,20064,0,stable,high
190,19.000218021,19968,0,stable,high
191,19.100117349,19968,0,stable,high
192,19.200357059,20064,0,stable,high
193,19.300470543000003,19968,0,stable,high
194,19.400337784,19968,0,stable,high
195,19.501337437,20064,0,stable,high
196,19.600530912,20064,0,stable,high
197,19.700281976000003,19968,0,stable,high
198,19.801155956,20064,0,stable,high
199,19.900290317,19872,0,stable,high
200,20.000548662,19968,0,stable,high
201,20.100141317,20064,0,stable,high
202,20.200704026,19968,0,stable,high
203,20.300684737,20160,0,stable,high
204,20.401056635,19968,0,stable,high
205,20.50055498,19968,0,stable,high
206,20.600380219,19872,0,stable,high
207,20.700736197,20160,0,stable,high
208,20.800536565,19968,0,stable,high
209,20.900463487,19872,0,stable,high
210,21.000457488,20160,0,stable,high
211,21.100131431,19872,0,stable,high
212,21.200444234000003,19968,0,stable,high
213,21.300500804,20064,0,stable,high
214,21.400103974,19968,0,stable,high
215,21.500766581,19968,0,stable,high
216,21.601122599,20064,0,stable,high
217,21.700760844,20064,0,stable,high
218,21.800996245,19968,0,stable,high
219,21.90058288,19968,0,stable,high
220,22.000897197,20064,0,stable,high
221,22.100182556,19872,0,stable,high
222,22.201267437,20064,0,stable,high
223,22.300201513,19968,0,stable,high
224,22.400967143000003,20064,0,stable,high
225,22.501091626,20064,0,stable,high
226,22.600477689,19872,0,stable,high
227,22.700896737,20064,0,stable,high
228,22.800178144,19968,0,stable,high
229,22.900687790000003,20064,0,stable,high
230,23.001093612,20064,0,stable,high
231,23.100661121,19872,0,stable,high
232,23.200840399,20064,0,stable,high
233,23.300759033,20064,0,stable,high
234,23.400112187,19872,0,stable,high
235,23.500767323,20064,0,stable,high
236,23.600801501000003,20064,0,stable,high
237,23.700781603000003,19968,0,stable,high
238,23.800790828,19968,0,stable,high
239,23.900310826,19872,0,stable,high
240,24.000787392000003,20064,0,stable,high
241,24.100405878,19968,0,stable,high
242,24.201205874000003,20160,0,stable,high
243,24.300603421,19776,0,stable,high
244,24.40108238,20160,0,stable,high
245,24.50092386,20064,0,stable,high
246,24.600754700000003,19872,0,stable,high
247,24.701811612,20256,0,stable,high
248,24.800997175000003,19872,0,stable,high
249,24.901269213000003,19968,0,stable,high
250,25.001172139,19968,0,stable,high
251,25.100580667000003,19968,0,stable,high
252,25.201093345,20064,0,stable,high
253,25.300664546,19872,0,stable,high
254,25.401110219000003,20064,0,stable,high
255,25.500950925,20064,0,stable,high
256,25.601073107,20160,0,stable,high
257,25.701108098,19968,0,stable,high
258,25.801115033,19968,0,stable,high
259,25.900885864000003,19872,0,stable,high
260,26.001078057,20064,0,stable,high
261,26.100906914000003,19968,0,stable,high
262,26.200966262,19968,0,stable,high
263,26.300761939,19968,0,stable,high
264,26.400984788,20064,0,stable,high
265,26.501049179,19968,0,stable,high
266,26.601075854,20064,0,stable,high
267,26.701415201000003,19968,0,stable,high
268,26.801082038,20064,0,stable,high
269,26.900785615,19872,0,stable,high
270,27.001170201,20064,0,stable,high
271,27.10129689,19968,0,stable,high
272,27.200789924,19968,0,stable,high
273,27.300885672000003,20064,0,stable,high
274,27.40068604,19968,0,stable,high
275,27.50107209,19872,0,stable,high
276,27.601082487000003,20256,0,stable,high
277,27.700996301,19968,0,stable,high
278,27.800753307,19872,0,stable,high
